Model=CNNV2, Epoch 27/50: BatchSize=32, Loss=0,004347, MSE=0,009686, RMSE=0,098418, R²=0,958564
Model=CNNV2, Epoch 28/50: BatchSize=32, Loss=0,003417, MSE=0,011109, RMSE=0,105401, R²=0,952475
Model=CNNV2, Epoch 29/50: BatchSize=32, Loss=0,004558, MSE=0,012132, RMSE=0,110146, R²=0,948100
Model=CNNV2, Epoch 30/50: BatchSize=32, Loss=0,003826, MSE=0,010596, RMSE=0,102938, R²=0,954671
Model=CNNV2, Epoch 31/50: BatchSize=32, Loss=0,006987, MSE=0,008215, RMSE=0,090639, R²=0,964855
Model=CNNV2, Epoch 32/50: BatchSize=32, Loss=0,004006, MSE=0,007225, RMSE=0,085000, R²=0,969092
Model=CNNV2, Epoch 33/50: BatchSize=32, Loss=0,004285, MSE=0,006124, RMSE=0,078253, R²=0,973804
Model=CNNV2, Epoch 34/50: BatchSize=32, Loss=0,002821, MSE=0,007404, RMSE=0,086045, R²=0,968328
Model=CNNV2, Epoch 35/50: BatchSize=32, Loss=0,000824, MSE=0,007413, RMSE=0,086096, R²=0,968290
Model=CNNV2, Epoch 36/50: BatchSize=32, Loss=0,000770, MSE=0,006437, RMSE=0,080228, R²=0,972465
Model=CNNV2, Epoch 37/50: BatchSize=32, Loss=0,002678, MSE=0,005348, RMSE=0,073129, R²=0,977123
Model=CNNV2, Epoch 38/50: BatchSize=32, Loss=0,000563, MSE=0,005372, RMSE=0,073291, R²=0,977021
Model=CNNV2, Epoch 39/50: BatchSize=32, Loss=0,003875, MSE=0,006576, RMSE=0,081094, R²=0,971867
Model=CNNV2, Epoch 40/50: BatchSize=32, Loss=0,001415, MSE=0,008574, RMSE=0,092595, R²=0,963322
Model=CNNV2, Epoch 41/50: BatchSize=32, Loss=0,002978, MSE=0,008032, RMSE=0,089620, R²=0,965641
Model=CNNV2, Epoch 42/50: BatchSize=32, Loss=0,002922, MSE=0,008689, RMSE=0,093214, R²=0,962830
Model=CNNV2, Epoch 43/50: BatchSize=32, Loss=0,003316, MSE=0,010132, RMSE=0,100659, R²=0,956656
Model=CNNV2, Epoch 44/50: BatchSize=32, Loss=0,003035, MSE=0,008197, RMSE=0,090535, R²=0,964936
Model=CNNV2, Epoch 45/50: BatchSize=32, Loss=0,006379, MSE=0,009172, RMSE=0,095772, R²=0,960762
Model=CNNV2, Epoch 46/50: BatchSize=32, Loss=0,005268, MSE=0,009679, RMSE=0,098381, R²=0,958595
Model=CNNV2, Epoch 47/50: BatchSize=32, Loss=0,014819, MSE=0,012591, RMSE=0,112207, R²=0,946139
Model=CNNV2, Epoch 48/50: BatchSize=32, Loss=0,003832, MSE=0,013145, RMSE=0,114653, R²=0,943766
Model=CNNV2, Epoch 49/50: BatchSize=32, Loss=0,003349, MSE=0,007488, RMSE=0,086531, R²=0,967969
Model=CNNV2, Epoch 50/50: BatchSize=32, Loss=0,004310, MSE=0,004983, RMSE=0,070591, R²=0,978683
Model=CNNV3checkpoint, Epoch 1/50: BatchSize=32, Loss=0,117555, MSE=0,116854, RMSE=0,341839, R²=0,500110
Model=CNNV3checkpoint, Epoch 2/50: BatchSize=32, Loss=0,038054, MSE=0,065126, RMSE=0,255197, R²=0,721399
Model=CNNV3checkpoint, Epoch 3/50: BatchSize=32, Loss=0,029207, MSE=0,049122, RMSE=0,221634, R²=0,789863
Model=CNNV3checkpoint, Epoch 4/50: BatchSize=32, Loss=0,020444, MSE=0,038424, RMSE=0,196019, R²=0,835628
Model=CNNV3checkpoint, Epoch 5/50: BatchSize=32, Loss=0,017414, MSE=0,032394, RMSE=0,179983, R²=0,861423
Model=CNNV3checkpoint, Epoch 6/50: BatchSize=32, Loss=0,052658, MSE=0,032280, RMSE=0,179665, R²=0,861911
Model=CNNV3checkpoint, Epoch 7/50: BatchSize=32, Loss=0,018512, MSE=0,048064, RMSE=0,219234, R²=0,794388
Model=CNNV3checkpoint, Epoch 8/50: BatchSize=32, Loss=0,009470, MSE=0,024709, RMSE=0,157191, R²=0,894298
Model=CNNV3checkpoint, Epoch 9/50: BatchSize=32, Loss=0,007278, MSE=0,017409, RMSE=0,131942, R²=0,925528
Model=CNNV3checkpoint, Epoch 10/50: BatchSize=32, Loss=0,004601, MSE=0,019974, RMSE=0,141330, R²=0,914552
