Model=CNNV4batchup, Epoch 10/10: BatchSize=64, Loss=0,214460, MSE=0,172294, RMSE=0,415083, R²=0,274582
Model=MLP1, Epoch 1/10: BatchSize=32, Loss=0,196953, MSE=0,196824, RMSE=0,443649, R²=0,172931 (737, 36, 227)
Model=MLP1, Epoch 2/10: BatchSize=32, Loss=0,190761, MSE=0,188240, RMSE=0,433866, R²=0,209003
Model=MLP1, Epoch 3/10: BatchSize=32, Loss=0,178400, MSE=0,180749, RMSE=0,425145, R²=0,240481
Model=MLP1, Epoch 4/10: BatchSize=32, Loss=0,170662, MSE=0,175516, RMSE=0,418946, R²=0,262470
Model=MLP1, Epoch 5/10: BatchSize=32, Loss=0,159534, MSE=0,170861, RMSE=0,413353, R²=0,282030
Model=MLP1, Epoch 6/10: BatchSize=32, Loss=0,151037, MSE=0,167404, RMSE=0,409150, R²=0,296558
Model=MLP1, Epoch 7/10: BatchSize=32, Loss=0,145534, MSE=0,167021, RMSE=0,408682, R²=0,298166
Model=MLP1, Epoch 8/10: BatchSize=32, Loss=0,139125, MSE=0,165870, RMSE=0,407272, R²=0,303000
Model=MLP1, Epoch 9/10: BatchSize=32, Loss=0,130887, MSE=0,162777, RMSE=0,403456, R²=0,316000
Model=MLP1, Epoch 10/10: BatchSize=32, Loss=0,125490, MSE=0,161969, RMSE=0,402454, R²=0,319393
Model=MLP2, Epoch 1/25: BatchSize=32, Loss=0,196752, MSE=0,197363, RMSE=0,444255, R²=0,169128 (733, 37, 230) 
Model=MLP2, Epoch 2/25: BatchSize=32, Loss=0,182869, MSE=0,188632, RMSE=0,434318, R²=0,205883
Model=MLP2, Epoch 3/25: BatchSize=32, Loss=0,167975, MSE=0,180784, RMSE=0,425187, R²=0,238921
Model=MLP2, Epoch 4/25: BatchSize=32, Loss=0,156010, MSE=0,174960, RMSE=0,418282, R²=0,263440
Model=MLP2, Epoch 5/25: BatchSize=32, Loss=0,147099, MSE=0,169982, RMSE=0,412289, R²=0,284397
Model=MLP2, Epoch 6/25: BatchSize=32, Loss=0,139717, MSE=0,166274, RMSE=0,407767, R²=0,300007
Model=MLP2, Epoch 7/25: BatchSize=32, Loss=0,130376, MSE=0,163585, RMSE=0,404456, R²=0,311329
Model=MLP2, Epoch 8/25: BatchSize=32, Loss=0,124814, MSE=0,161212, RMSE=0,401512, R²=0,321319
Model=MLP2, Epoch 9/25: BatchSize=32, Loss=0,118828, MSE=0,159862, RMSE=0,399828, R²=0,327000
Model=MLP2, Epoch 10/25: BatchSize=32, Loss=0,114109, MSE=0,158194, RMSE=0,397736, R²=0,334022
Model=MLP2, Epoch 11/25: BatchSize=32, Loss=0,112802, MSE=0,157561, RMSE=0,396939, R²=0,336689
Model=MLP2, Epoch 12/25: BatchSize=32, Loss=0,110699, MSE=0,158134, RMSE=0,397660, R²=0,334277
Model=MLP2, Epoch 13/25: BatchSize=32, Loss=0,105500, MSE=0,155078, RMSE=0,393800, R²=0,347140
Model=MLP2, Epoch 14/25: BatchSize=32, Loss=0,103114, MSE=0,154015, RMSE=0,392448, R²=0,351616
Model=MLP2, Epoch 15/25: BatchSize=32, Loss=0,101478, MSE=0,153631, RMSE=0,391957, R²=0,353235
Model=MLP2, Epoch 16/25: BatchSize=32, Loss=0,097981, MSE=0,153635, RMSE=0,391962, R²=0,353218
Model=MLP2, Epoch 17/25: BatchSize=32, Loss=0,096497, MSE=0,153991, RMSE=0,392416, R²=0,351719
Model=MLP2, Epoch 18/25: BatchSize=32, Loss=0,094259, MSE=0,154004, RMSE=0,392433, R²=0,351665
Model=MLP2, Epoch 19/25: BatchSize=32, Loss=0,092460, MSE=0,154628, RMSE=0,393227, R²=0,349036
Model=MLP2, Epoch 20/25: BatchSize=32, Loss=0,090547, MSE=0,154422, RMSE=0,392966, R²=0,349903
Model=MLP2, Epoch 21/25: BatchSize=32, Loss=0,088482, MSE=0,153739, RMSE=0,392096, R²=0,352777
Model=MLP2, Epoch 22/25: BatchSize=32, Loss=0,097760, MSE=0,154064, RMSE=0,392509, R²=0,351412
Model=MLP2, Epoch 23/25: BatchSize=32, Loss=0,094939, MSE=0,157932, RMSE=0,397407, R²=0,335125
Model=MLP2, Epoch 24/25: BatchSize=32, Loss=0,090082, MSE=0,157539, RMSE=0,396912, R²=0,336780
Model=MLP2, Epoch 25/25: BatchSize=32, Loss=0,086965, MSE=0,157420, RMSE=0,396762, R²=0,337280
Model=MLP3dropout, Epoch 1/25: BatchSize=32, Loss=0,200369, MSE=0,196549, RMSE=0,443338, R²=0,171710 (726, 34, 240)
Model=MLP3dropout, Epoch 2/25: BatchSize=32, Loss=0,192934, MSE=0,188950, RMSE=0,434684, R²=0,203730
Model=MLP3dropout, Epoch 3/25: BatchSize=32, Loss=0,183766, MSE=0,179859, RMSE=0,424098, R²=0,242043
Model=MLP3dropout, Epoch 4/25: BatchSize=32, Loss=0,167632, MSE=0,173823, RMSE=0,416921, R²=0,267479
Model=MLP3dropout, Epoch 5/25: BatchSize=32, Loss=0,155645, MSE=0,169793, RMSE=0,412060, R²=0,284462
Model=MLP3dropout, Epoch 6/25: BatchSize=32, Loss=0,145112, MSE=0,165960, RMSE=0,407382, R²=0,300615
Model=MLP3dropout, Epoch 7/25: BatchSize=32, Loss=0,135478, MSE=0,163106, RMSE=0,403864, R²=0,312643
Model=MLP3dropout, Epoch 8/25: BatchSize=32, Loss=0,127917, MSE=0,161009, RMSE=0,401260, R²=0,321479
Model=MLP3dropout, Epoch 9/25: BatchSize=32, Loss=0,121845, MSE=0,159522, RMSE=0,399402, R²=0,327748
Model=MLP3dropout, Epoch 10/25: BatchSize=32, Loss=0,115728, MSE=0,158974, RMSE=0,398715, R²=0,330058
Model=MLP3dropout, Epoch 11/25: BatchSize=32, Loss=0,111959, MSE=0,159074, RMSE=0,398841, R²=0,329634
Model=MLP3dropout, Epoch 12/25: BatchSize=32, Loss=0,107750, MSE=0,161360, RMSE=0,401696, R²=0,320001
Model=MLP3dropout, Epoch 13/25: BatchSize=32, Loss=0,125970, MSE=0,155640, RMSE=0,394512, R²=0,344106
Model=MLP3dropout, Epoch 14/25: BatchSize=32, Loss=0,131016, MSE=0,160565, RMSE=0,400705, R²=0,323353
Model=MLP3dropout, Epoch 15/25: BatchSize=32, Loss=0,118747, MSE=0,161306, RMSE=0,401629, R²=0,320231
Model=MLP3dropout, Epoch 16/25: BatchSize=32, Loss=0,109387, MSE=0,159050, RMSE=0,398811, R²=0,329734
Model=MLP3dropout, Epoch 17/25: BatchSize=32, Loss=0,106188, MSE=0,157612, RMSE=0,397004, R²=0,335796
